customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,num_support_calls,avg_session_duration,churn
1,56,Male,49,76.52419939007761,5964.809025128269,Two year,Credit card,Fiber optic,Yes,No internet,8,155.26178619540232,0
2,69,Female,70,46.09967477771357,4035.152079764313,Two year,Credit card,DSL,Yes,Yes,8,46.04071555630913,0
3,46,Female,49,33.98298093015644,7191.579934194479,Month-to-month,Bank transfer,Fiber optic,No,No internet,2,150.50289002323845,1
4,32,Male,3,77.21660055102244,7734.481521912237,Month-to-month,Bank transfer,No,Yes,No internet,2,70.13416758472118,0
5,60,Male,5,36.029754691785215,2961.7469712254106,Month-to-month,Mailed check,DSL,No,Yes,6,43.27299839030171,1
6,25,Female,61,83.23805951983618,5243.163054225181,Two year,Credit card,DSL,No,No internet,4,168.91258426201725,0
7,38,Female,26,101.27821762487079,5331.479681410887,One year,Mailed check,Fiber optic,Yes,No,4,46.41133651287387,0
8,56,Female,5,127.55994516895656,3288.720657394786,Two year,Electronic check,DSL,No internet,No,4,178.6119883790711,0
9,36,Female,15,108.22442683377267,2602.649488507452,Two year,Credit card,No,No internet,No internet,8,28.457561706043265,1
10,40,Female,16,28.47596967179956,7476.579165999727,One year,Bank transfer,DSL,No internet,No internet,3,11.703533176335238,0
11,28,Female,1,59.96622923121883,6340.854239570134,Two year,Credit card,Fiber optic,No,Yes,5,158.03490283310413,0
12,28,Female,16,57.437219031225055,1004.2700711988987,Two year,Mailed check,DSL,No,Yes,5,109.7227494124418,0
13,41,Male,37,138.95421505124096,1047.0841655206073,Two year,Bank transfer,DSL,Yes,No internet,6,81.67647135275537,0
14,53,Female,3,132.81166577105927,7388.08787393733,One year,Electronic check,DSL,No,Yes,1,23.93386734045601,1
15,57,Female,52,68.1192293855542,743.137143712703,Two year,Electronic check,Fiber optic,No internet,No,5,107.73173026688796,0
16,41,Male,47,29.25018326473554,5538.52863532101,Month-to-month,Mailed check,Fiber optic,Yes,No,8,76.93334949010291,1
17,20,Female,13,136.23395131461535,1891.3901508608526,One year,Credit card,DSL,No internet,No,2,92.21572520807607,0
18,39,Female,55,135.46469388534433,377.9642076587874,Month-to-month,Electronic check,No,Yes,Yes,1,117.16661643837543,0
19,19,Male,21,131.11699716399426,571.1366140327125,Month-to-month,Mailed check,Fiber optic,No internet,Yes,7,118.78871295719573,1
20,41,Female,66,129.8606129056152,3050.8246190685404,Two year,Bank transfer,DSL,Yes,Yes,0,173.30187103001668,0
21,61,Male,54,82.4330201412001,712.948768345981,One year,Bank transfer,DSL,No internet,Yes,7,121.3590802846886,0
